-23.2,	2.84804E-06
-23.04,	5.37675E-06
-22.9,	1.84601E-05
-22.74,	3.234E-05
-22.58,	9.21055E-05
-22.44,	0.00012421
-22.28,	0.000243424
-22.12,	0.000340775
-21.94587755,	0.000517947
-21.82,	0.00093493
-21.64383673,	0.001325711
-21.5,	0.001765035
-21.36,	0.002662715
-21.2,	0.003459083
-21.04,	0.004016947
-20.88,	0.005026882
-20.74,	0.005623413
-20.58,	0.006530329
-20.42,	0.007305272
-20.28,	0.008806538
-20.12,	0.009490142
-19.98,	0.009851594
-19.82,	0.011020665
-19.66,	0.01187614
-19.52,	0.013285461
-19.36,	0.013791465
-19.2,	0.015428073
-19.04,	0.015428073
-18.9,	0.016015683
-18.74,	0.018598611
-18.58,	0.016625672
-18.44,	0.016015683
-18.28,	0.020042323
-18.12,	0.021598102
-17.96,	0.017916235
-17.82,	0.019306977
-17.66,	0.020042323
-17.5,	0.026036609
-17.36,	0.029126327
-17.2,	0.031387249
-17.04,	0.021598102
-16.88,	0.026036609
-16.74,	0.027028266
-16.58,	0.037837469
-16.44,	0.071432542
-16.28,	0.017916235
-16.12,	0.05925531
