-23.2,	6.24388E-06
-23.04,	1.13552E-05
-22.9,	2.78487E-05
-22.74,	4.52735E-05
-22.58,	0.000111034
-22.44,	0.000149735
-22.28,	0.000282682
-22.12,	0.000395733
-21.96,	0.000597
-21.81,	0.001045877
-21.66,	0.001464146
-21.5,	0.001974488
-21.36,	0.002978695
-21.2,	0.003869567
-21.04,	0.00466478
-20.9,	0.005623413
-20.74,	0.006290734
-20.58,	0.007583508
-20.44,	0.008172175
-20.28,	0.009851594
-20.12,	0.011020665
-19.98,	0.011440409
-19.82,	0.012328467
-19.66,	0.013791465
-19.5,	0.015428073
-19.36,	0.015428073
-19.2,	0.017916235
-19.04,	0.017258895
-18.9,	0.018598611
-18.74,	0.021598102
-18.58,	0.019306977
-18.44,	0.018598611
-18.28,	0.023274648
-18.12,	0.025081335
-17.96,	0.020805675
-17.82,	0.023274648
-17.66, 0.02416111
-17.5,	0.031387249
-17.36,	0.035111917
-17.2,	0.037837469
-17.04,	0.028057692
-16.9,	0.033823674
-16.74,	0.039278586
-16.58,	0.052969512
-16.44,	0.1
-16.28,	0.043939706
-16.12,	0.120550449

